Ac,Helium
Ag,Lithium
Al,Beryllium
Am,Boron
Ar,Carbon
As,Nitrogen
At,Oxygen
Au,Fluorine
B,Neon
Ba,Sodium
Be,Magnesium
Bh,Aluminum
Bi,Silicon
Bk,Phosphorus
Br,Sulfur
C,Chlorine
Ca,Argon
Cd,Potassium
Ce,Calcium
Cf,Scandium
Cl,Titanium
Cm,Vanadium
Cn,Chromium
Co,Manganese
Cr,Iron
Cs,Cobalt
Cu,Nickel
Db,Copper
Ds,Zinc
Dy,Gallium
Er,Germanium
Es,Arsenic
Eu,Selenium
F,Bromine
Fe,Krypton
Fm,Rubidium
Fr,Strontium
Ga,Yttrium
Gd,Zirconium
Ge,Niobium
H,Hydrogen
He,Molybdenum
Hf,Technetium
Hg,Ruthenium
Ho,Rhodium
Hs,Palladium
I,Silver
In,Cadmium
Ir,Indium
K,Tin
Kr,Antimony
La,Tellurium
Li,Iodine
Lr,Xenon
Lu,Cesium
Md,Barium
Mg,Lanthanum
Mn,Cerium
Mo,Praseodymium
Mt,Neodymium
N,Promethium
Na,Samarium
Nb,Europium
Nd,Gadolinium
Ne,Terbium
Ni,Dysprosium
No,Holmium
Np,Erbium
O,Thulium
Os,Ytterbium
P,Lutetium
Pa,Hafnium
Pb,Tantalum
Pd,Tungsten
Pm,Rhenium
Po,Osmium
Pr,Iridium
Pt,Platinum
Pu,Gold
Ra,Mercury
Rb,Thallium
Re,Lead
Rf,Bismuth
Rg,Polonium
Rh,Astatine
Rn,Radon
Ru,Francium
S,Radium
Sb,Actinium
Sc,Thorium
Se,Protactinium
Sg,Uranium
Si,Neptunium
Sm,Plutonium
Sn,Americium
Sr,Curium
Ta,Berkelium
Tb,Californium
Tc,Einsteinium
Te,Fermium
Th,Mendelevium
Ti,Nobelium
Tl,Lawrencium
Tm,Rutherfordium
U,Dubnium
V,Copernicium
W,Ununtrium
Xe,Ununquadium
Y,Ununpentium
Yb,Ununhexium
Zn,Ununseptium
Zr,Ununoctium 
